No;Username;Jenis Kelamin;Jml Follower;Jml Following;ER;Jml Postingan;Avg. Likes;Avg. Comment;Label
1;kiki_wulan13;p;860;978;9.75%;16;82;2;1
2;arisuwari.sh.mh.m.sos;l;403;498;1.94%;282;7;0;0
3;sarah.g.s.surentu;p;880;2395;6.36%;1;56;0;1
4;dwi_gokil;n;60;47;0.93%;9;0;0;1
5;titinyuliani24;p;522;815;0.81%;35;3;0;1
6;nudel.jkt;n;49;147;5.61%;23;2;0;0
7;aryapujasmara;p;64.8k;546;1.30%;167;829;10;0
8;vpesik_;p;1096;791;4.90%;3;52;1;1
9;makisofi8;p;28;23;10.71%;1;3;0;1
10;tinachristina1062;p;1458;7510;0.50%;422;6;1;0
11;dame_pangaribuan_sitompul;p;1502;2755;1.53%;596;18;5;1
12;yustapatmawati;p;236;165;7.20%;61;16;0;0
13;ningrumoei_8;p;1670;6756;1.97%;200;28;5;1
14;fransiska.nurhayati;p;60;480;11.39%;15;6;1;1
15;mellyandreas1;n;288;426;1.71%;762;4;0;0
16;sherly.putry.7374;p;50;33;2.17%;48;1;0;1
17;lannysetia;p;552;392;11.13%;122;54;7;0
18;fannytobagus;p;137;193;2.92%;11;3;0;1
19;ledy_kumala;p;18.8k;7097;1.24%;397;225;8;1
20;riskadewinurjanah;p;1032;689;4.84%;5;48;2;1
21;mustika_hariadi;p;510;1361;2.27%;343;11;0;0
22;baju_baby_sitterr.ku;n;1223;973;0.55%;128;6;0;1
23;atomyindonesia__;p;2358;764;0.05%;23;1;0;0
24;narsihsardi;p;298;205;6.01%;97;16;1;0
25;lhiysaa__;p;1140;1048;4.61%;22;51;1;1
26;wayansuartini1;p;655;791;0.94%;515;6;0;1
27;wilsonanthony1;p;58k;2258;2.19%;592;1.2k;69;1
28;pijatrefleksiandmassage;n;408;738;2.23%;145;8;1;1
29;akbar66787;n;66;78;1.77%;44;1;0;1
30;meldaindana;p;814;1746;4.69%;101;37;1;1
31;lestary3344;p;146;134;6.29%;11;8;1;0
32;fidya_aydif;p;502;1039;2.09%;122;9;1;1
33;inonikwaras98bgmail.com4;p;387;618;0.39%;746;1;0;0
34;penyalur_babysitter_medan;n;16.1k;943;0.21%;923;31;2;1
35;muliani1611;p;77;53;1.30%;22;2;0;1
36;iammellonn;p;322;488;5.32%;14;8;0;0
37;naina.fadheela;p;652;1320;2.22%;199;13;1;1
38;ayyu.006;p;7917;270;0.01%;2;1;0;0
39;waroeng_pinggersawah;n;52;53;1.92%;7;1;0;0
40;retnosusianawati;p;33;55;9.09%;4;3;0;1
41;auliadianashari;p;5644;2592;3.57%;38;199;2;1
42;alfonsusjr_;l;804;816;11.31%;10;84;7;1
43;niakurnia3398;p;121;496;7.64%;4;8;1;1
44;sianah52;p;336;730;2.75%;44;8;1;1
45;patrisclairin;p;297;388;3.96%;127;11;1;0
46;ingridaipassa;p;582;1133;10.28%;18;56;3;1
47;erviantypandy;p;1625;1034;5.55%;960;85;5;0
48;annieunike;p;617;859;8.86%;230;47;7;0
49;febrihannadd;p;655;674;13.52%;14;84;4;1
50;graciatimothy_;p;1560;851;9.60%;24;130;19;1
51;millionaire.nurse;p;113;1366;1.33%;92;1;0;1
52;limpotju71;p;14;7;22.02%;14;3;0;0
53;wahyulukitosari;p;378;314;14.51%;14;51;4;1
54;epabridal;n;3912;1324;1.56%;330;59;1;0
55;chiranas;p;964;1005;6.72%;52;61;3;1
56;aldy_pelmelay;p;411;1559;9.73%;3;35;5;0
57;sunartialani;p;719;2924;0.32%;186;2;0;1
58;lourent_songket;p;522;546;0.40%;609;2;0;1
59;annykristiana;p;998;657;9.22%;3;91;1;0
60;fiafiaaja06052002;p;615;2536;2.97%;8;18;0;1
61;ussy_lusia;p;1409;4320;0.27%;181;3;1;1
62;gunawann_71;l;169;771;1.43%;50;2;0;1
63;saa_n1ie;p;118;7;5,01%;22;6;0;1
64;molena_ae;p;1035;1322;3,22%;41;33;1;1
65;traveldebesttravel;n;232;821;0,68%;29;2;0;1
66;che_gemooy;p;135;198;2,67%;5;4;0;1
67;rdwiyanti;p;2121;1603;7,83%;544;155;11;1
68;zizahijha;p;265;362;1,73%;53;4;0;0
69;esmeralda.gabriella;p;1762;1566;8,06%;2;132;10;0
70;suprialdo22;l;912;7564;0,98%;295;9;0;0
71;endarasmiati;p;219;253;7,31%;17;15;1;1
